BidderID,Name,Address,Phone,Email
1,John Doe,123 Elm St,555-1234,john.doe@example.com
2,Jane Smith,456 Oak St,555-5678,jane.smith@example.com
3,Bob Johnson,789 Pine St,555-9012,bob.johnson@example.com
4,Alice Williams,321 Cedar St,555-3456,alice.williams@example.com
5,Charlie Brown,654 Spruce St,555-7890,charlie.brown@example.com
6,David Clark,987 Maple St,555-2345,david.clark@example.com
7,Eva Davis,159 Walnut St,555-6789,eva.davis@example.com
8,Frank Miller,753 Birch St,555-1235,frank.miller@example.com
9,Grace Lee,258 Ash St,555-6780,grace.lee@example.com
10,Hannah Wilson,369 Palm St,555-9013,hannah.wilson@example.com
11,Igor Martinez,147 Fir St,555-2346,igor.martinez@example.com
12,Julia Lopez,258 Oak St,555-5671,julia.lopez@example.com
13,Kevin Thomas,369 Elm St,555-7891,kevin.thomas@example.com
14,Linda Hernandez,741 Pine St,555-1237,linda.hernandez@example.com
15,Michael Anderson,852 Cedar St,555-5673,michael.anderson@example.com
16,Nina Robinson,963 Spruce St,555-7892,nina.robinson@example.com
17,Oscar Wright,174 Maple St,555-2348,oscar.wright@example.com
18,Pamela King,285 Walnut St,555-6783,pamela.king@example.com
19,Quincy Hall,396 Birch St,555-9015,quincy.hall@example.com
20,Rachel Young,417 Ash St,555-2349,rachel.young@example.com
21,Steve Scott,528 Palm St,555-5675,steve.scott@example.com
22,Tina Adams,639 Fir St,555-7894,tina.adams@example.com
23,Ursula Clark,741 Oak St,555-1239,ursula.clark@example.com
24,Victor Lewis,852 Elm St,555-5677,victor.lewis@example.com
25,Wendy Walker,963 Pine St,555-7895,wendy.walker@example.com
26,Chris Evans,159 Pine St,555-9101,chris.evans@example.com
27,Laura Scott,123 Oak St,555-1102,laura.scott@example.com
28,Peter Parker,321 Spruce St,555-5678,peter.parker@example.com
29,Tony Stark,654 Elm St,555-7890,tony.stark@example.com
30,Bruce Wayne,987 Birch St,555-5673,bruce.wayne@example.com
